731;BigBank;;0;590311
689;TransCoin;;0;5393825
651;Монетка;702499140547;897;58180
657;Easy-Changer;;0;921533
661;Ферма;;0;45006932
654;Ru-Bas;;0;89245
738;HASchange;;0;31432639
702;Papa-Change;;0;232321775
660;FlyChange;290933993890;3077;8088175
693;CryptoBroker;;0;13369447
714;Top-Exchange;;0;2773612
715;Coins-Trade;;0;2882479
658;BtcTenge;;0;41017014
762;TetChange;;0;1114655
686;1Mile;;0;36586040
695;BTC-Обменник;;0;23389074
706;HoBit;;0;6263042
705;Cryptonex;;0;55897
713;CashOut;;0;219403
687;WikiPays;;0;0
701;WMCash;236702904683;1533;15949
749;BitOkk;;0;211437616
690;Fair-Exchange;413428403759;5;35715
685;BitCash;;0;543277
684;100Bitcoins;;0;71655086
723;BitObmen;;0;105383
718;Platov;;0;15312101
704;Change-X;;0;14543701
688;ExchangeExpress;279259009479;842;18573
710;Bittrend;;0;35241638
712;Criptify;;0;40760
755;Big-Changer;;0;69262
703;Obmen4you;320026778932;1455;17100
716;Bitok777;;0;231225
782;Tec-Bit;;0;9728143
750;CashAdmin;;0;73896332
763;PushPayer;753021635396;0;65121
758;CryptoBox;;0;7645669
741;BTCe-Obmen;;0;150099
737;BonkyPay;232342940453;0;58472757
761;FlashObmen;;0;429153
754;ObmenIM;;0;104359
757;ChangeNow;;0;130711839
783;ОбменДенег;;0;14388
770;BTC24pro;;0;287234
779;MoneyMix;;0;163165
790;Турбина;;0;27767115
776;XbiTrade;;0;814086
785;PayMarket;;0;142091
775;AllWMCash;;0;22333
804;PayBTC;;0;4927205
780;Bitcoin24Pro;;0;71196648
774;ОбменМонет;;0;10139263
766;UniCash;;0;68050267
764;NiceChange;;0;231902541
772;CoinPayMaster;;0;189402954
792;SberBit;;0;715946
799;Криптообменник;;0;861602
801;Coin-Future;;0;192228
793;IceBTC;;0;25568728
798;Quickex;;0;65725535
808;ChangeCoins;;0;240672
814;BitBits;;0;107992
835;7Pay;709807738416;1512;308257
827;Crypster;;0;13519011
812;Ex-Bank;;0;3628510
823;Обменочка;;0;612192
809;XbitMoney;155289860990;1529;367409
825;MyChanger;;0;1574243
816;WM007;;0;14439
840;YoChange;;0;212249623
838;AlfaExchange;;0;79412463
839;MyInvestStory;;0;2878
821;ExchangeTeam;;0;139114894
815;Belqi;;0;24832172
842;AllMoney;406103529800;225;411022
850;Keine-Exchange;;0;7958150
846;ExchangeYourMoney;;0;1457141
847;BitPride-Exchange;;0;224075738
848;SwapCoin;;0;17124584
852;RamonCash;;0;20133537
857;Paytiz;227421344645;264;3260308
855;CoinStart;;0;2210036
858;FixedFloat;;0;4593380
865;Bixter;;0;10411263
869;ExpoChange;412963033166;0;310677
866;Delets;;0;11698559
871;BitokMe;;0;330691328
895;CryptoBarMen;;0;53269815
867;Сумма;;0;4853508
870;Alfa-Trades;;0;24940062
882;BuyBank;;0;4441381
881;AllTrustMe;;0;4082529
877;Об-мен;963523258975;0;695441
890;Bitcoff;631856629771;0;101300
884;Cryptex;;0;1210611
907;ObmenAT24;;0;2955501
905;TraiderIdeal;;0;197116
902;BTC-Волга;;0;8142697
885;JPMarket;;0;152946530
897;AnonEx;;0;2971983
888;GramBit;;0;337927374
894;КупиБит;;0;1824952
887;KZObmen;;0;11373
898;Вобменка;;0;460671
906;CryptoHonest;;0;130041006
901;WMStar;310224582545;0;265166
899;CoinShop24;;0;88033230
900;Obmen-Box;;0;42951691
896;CoinChanger;;0;168767
910;WMT;797230232341;279;42756
915;CoinGuru;;0;78141111
914;Ex-code;;0;6808
989;CoinsBlack;890273718097;0;1859934
913;Quantex;;0;4850226
917;Micro-exchange;;0;39016485
916;Cryptos;;0;1175833
925;Sunduk;;0;129857
918;КриптоРай;;0;411155
939;EuroBit;;0;7333858
935;Wiki-Exchange;;0;139582303
922;PayWallet;;0;358376
943;TopCash;;0;353198
927;Msk-Exchange;;0;16809120
933;TytCash;;0;62815
929;RoyalCash;;0;452058642
930;Crypto-Store;;0;211850
942;ExHub;;0;5570784
944;EExchanger;330964771407;0;5135987
949;Coco-Pay;;0;25906801
948;AbcObmen;;0;247278723
951;PrideChange;;0;30665172
952;ExLine;;0;207852
954;EggChange;;0;12064249
961;MyBTC;;0;55404343
960;Crybex;195257639270;0;33349102
959;ExchangeKey;;0;38447955
953;Livex;;0;46049
956;Обменко;;0;572084
958;24Zone;;0;56239223
962;StyleBTC;;0;207542
963;Global-Ex;;0;77298
955;AlfaBit;;0;27871719
966;BlaBlaChange;;0;37314216
964;ExBase;;0;651812
1018;BissonExchange;;0;621452
967;КриптоОбмен;;0;211431
981;WMChanger;032757413663;0;1293134
1016;Банкир;;0;370084
997;CoinJoin;;0;23878870
985;Tuco;;0;6098337
983;Bitality;;0;83568913
968;CryptoMax;;0;120778707
973;Number1;;0;14817348
977;CityBit;;0;15019494
984;Cash-Bit;;0;0
969;4Money;;0;60481099
994;TipTopObmen;;0;72413136
976;ChangeProject;;0;536862909
992;OneMoment;;0;82234920
970;AlfaChange;;0;58062859
987;Itez;;0;3256454
974;BestKurs24;;0;34898
980;GrandChange;;0;312572224
975;PremierCash;;0;493669
986;PayFull;;0;70008
1011;IChangeOne;137024936562;0;93700
999;LetsPay;;0;2123747
1003;Crypto-Market24;;0;0
998;Момент;;0;13345
1027;Nordex;;0;644601
1040;HiExchange;209080513788;542;722230
1013;AvanChange;359556728149;0;41213182
1008;BroExchange;;0;57904016
1005;EezyCash;594705036984;3;43195387
1006;Сова;;0;5137816
1002;ExCenter;;0;53927226
1001;CatBit;;0;1725705
1000;BazaObmena;;0;47427814
1007;Platex;;0;0
1014;Coin24;;0;890721
1015;ТочкаОбмена;512160110371;0;57127
1020;Bit2Cash;;0;1205178
1010;Coinumm;;0;1297797
1032;Crypto-Bank;;0;396619
1026;Ripae;;0;69909
1021;Крипта;;0;4345839
1009;CryptoShopping;;0;51537
1019;001K;156178959868;66;3706320
1029;SwiftChange;;0;13096246
1004;ExWm;910856141988;399;2658
1038;Обама;455223738561;200;2092561
1036;CoinCat;;0;13488680
1028;BtcSale;;0;7029110
1030;4Pay;;0;50881
1023;UnioChange;;0;1278000
1033;CosmoChanger;;0;42366427
1025;GlobalBits;;0;20067210
1035;CryptoXchange;;0;5590299
1024;Just-Exchanger;;0;0
1037;Crypik;;0;3931366
1034;ClickPay;285857469245;41;1065130
1047;Money-Office;;0;13444318
1046;Муха;;0;130277
1045;AgCash;;0;1097410
1044;BitBong;;0;12063137
1041;AnyExchange;;0;42826356
1042;CoinBox;;0;255614
1049;BlaBlaMoney;;0;17651018
1050;Kursov24;;0;23877105
1065;X-Obmen;905028210175;0;146658
1054;24BitBank;;0;6278250
1053;ATMExchanger;;0;212848
1059;ОбменкаSU;;0;13504
1052;Artek-Exchanger;;0;0
1057;Fly-Pay;206304305615;227;77402
1056;First-BTC;;0;19973179
1062;FlyObmen;;0;107215
1064;ObmenGuru;185471005666;154;25918
1051;КриптоКасса;;0;2664754
1061;Adb;;0;20725554
1069;Clean-Exchange;;0;561982
1060;CryptoStrike;;0;50035238
1063;Оборот;;0;10845
1067;InstaBit;557452850931;0;46930
1070;Монеткин;;0;26495791
1071;CoinDrop;;0;165940
1072;N1ex;;0;0
1073;IziBTC;;0;236563408
