59;163;Visa/MasterCard RUB;RUB Карта;643;3;11111111111111111111111111111111111111111110111111111111111111111110000111111010111111111111100111001101000000110000000100000110010011111111111011011111111110110101111000000000000010111111010000010001001010000000000000000000000
60;165;Visa/MasterCard UAH;UAH Карта;980;3;10111111101111111111111111101111111111011100111111111111111111010010000110111010101111101111100110000001110000110010001000010110010011111111111111011101100000010010101000000000000010000101000000010000000000000000000000100100000
46;131;Тинькофф cash-in;RUB ТКС cash-in;643;3;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
61;45;BAT (BAT);BAT;1002;0;11111111101111111111111111111111111111111110111111111111111111111110000111111110111111111110001101000100000010101100000100000110111111111111111111111111111000000111111011100000000011111111000000000001111000000000000000101100110
62;129;Альфа cash-in RUB;RUB Альфа cash-in;643;3;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63;77;QIWI RUB;RUB QIWI;643;1;11111111111111111111111111111111111111111110111111111111111111101110000111111110111111111111100111110001001000110000000000010110110011111111111111011111111111110010111000000000000010110101010001010000000000000000000000010000000
64;134;Русский Стандарт;RUB РусСтандарт;643;3;10111111111111111111111111111111111111111110111111111111111111101110000111111010111111111111100111000000000000100000001000000110010010111111111011011111111000000110100000000000000000111101000000000000001000000000000000000000000
65;164;Visa/MasterCard EUR;EUR Карта;978;3;10011111101111111101111111111111111111111110111111111111101111101010000111111010111110101110000101001100000000100000000000000000000000000000000000000000000000000000000000000000000000001010000000000001000010000000000000000000000
57;138;Кукуруза;RUB Кукуруза;643;3;11111111101111111111101111101111111111111110111111111111011111000000000110111010101111001111100000000001000000100000000000000000000000000000000000011111111000000000100000000000000000000000000000000000000000000000000000000000000
66;160;Kaspi Bank;KZT KaspiBank;398;3;10011111001111111101111111111111111111111110111111111111000110101010000111111110111110101111100101000001100000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
67;206;WU USD;USD WU;840;4;10000001000000000000100000000000000000000000000000000000000000000010000100100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
68;150;Ощадбанк;UAH Ощадбанк;980;3;10111101101111111111111111101111111111011100111111111111111111010010000110111010101111101111100110000001100000100000000000000110010011111111111111011101100000000010101000000000000010000101000000010000000000000000000000000000000
69;185;Любой банк USD;USD Банк;840;3;10011111101111111101111111111111111111111110111111111111001111101010000111100010111110101110000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
73;4;Wrapped BTC (WBTC);WBTC;967;0;10111111111111111111111111111111111111111110111111111111111111111110000111111110111111111110000101000000000010101000000100000110010111111111111110011111111000000111100000000000000011111111000000000001001000000000000000000000000
70;187;Любой банк EUR;EUR Банк;978;3;10011111101111111101111111111111111111111110111111111111101111101010000111110010111110101110000101000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
71;186;Любой банк RUB;RUB Банк;643;3;11111111101111111111111111111111111111111110111111111111111111111110000111111010111110111110000101000001000000100000000100000000000001011010111001011111101010110100101000000000000000101101010000010000001000000000000000000000000
72;99;Neteller USD;USD Neteller;840;1;10001001001110001101101001000000011101001000100100000000000000000000000110011000001010001011000000000000000000000000000000000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
74;95;Paxum;USD Paxum;840;1;00000000000000000000000000000000000000000000000000000000000000000010000100000000001000001000000000000000000000000000000000000100010000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000
11;94;Idram;AMD Idram;51;1;10000000000010000000100000000000000000000000000000000000000000000010001110010000001000001110000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
75;159;ForteBank;KZT ForteBank;398;3;10011111001111111101111111111111111111111110111111111111000110101010000111111110111110101111100101000001100000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000
76;64;NEAR Protocol (NEAR);NEAR;1023;0;10111111101111111111111111111111011111011000101111111111111111111100000110011000001110111110000000000000000000001000000100000110111111111011111110011111111000000010101000000000000010000101000000000000010000000000000000100000000
77;210;MoneyGram EUR;EUR MG;978;4;10000001000000000000100000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;209;MoneyGram USD;USD MG;840;4;10000001000111001000100000000000000000000000000000000000000000000000000100001000001000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000
79;135;Авангард;RUB Авангард;643;3;10111111111111111111111111111111111111111110111111111111111111101110000111111010111111111111100111000000000000100000000000000000000000000000000001011111111000000100100000000000000010110000000000000000001000000000000000000000000
80;81;PayPal EUR;EUR PayPal;978;1;10001001000000000001100000000000001000000000000000000000000000000011010110011000001110000001100000000000000000000000000000000110010011111111111110011111111011110111101000000000000000000001000000000000000000000000000000001100000
81;192;Любой банк GBP;GBP Банк;826;3;10001001001110101101101101101010011101001000100101000101000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
82;54;Solana (SOL);SOL;1012;0;10111111111111111111111111111111111111111110111111111111111111111110000111111110111111111110000111000100000010101000000100000110111111111111111111111111111010110111111001000000000011111111010000000001111000000000000000111100110
83;174;Visa/MasterCard TRY;TRY Карта;949;3;10001001000110110001101100101010011100001000100101000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
84;153;Монобанк;UAH Монобанк;980;3;10111111101111111111111111101111111111011100111111111111111111010010000110111010101111101111100110000001100000110000000000010110010011111111111111011101100000010010101000000000000010000101000000010000000000000000000000100000000
85;98;Capitalist RUB;RUB Capitalist;643;1;10111111111111111101111111111111111111111110111111111111111111101110000111111010111110101110000100000001000010100000000000000110010011111011111111010000100000010010101000000000000011111100000000000001001000000000000000000000000
86;215;UNI USD;USD UNI;840;4;10000001000100000010000000000000000000000000000000000000000000000010000110000000001000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
